group,ata,system,component,qty,unit_mass_kg,total_mass_kg,x_m,y_m,z_m,mx_kgm,my_kgm,mz_kgm,notes
STRUCTURE,5200,Door,door,1,46.72001411,46.72001411,2.4384,-0.762,0.9144,113.92208240582401,-35.60065075182,42.720780902184,Fixed ATA mass from aircraft.json.
STRUCTURE,5300,Fuselage,fuselage,1,3480.3479559714024,3480.3479559714024,13.8,0.0,1.8,48028.80179240536,0.0,6264.626320748524,
STRUCTURE,5500,V-Tail,horizontal_tail,1,81.1665532627986,81.1665532627986,26.1,0.0,3.06,2118.447040159044,0.0,248.36965298416374,
STRUCTURE,5500,V-Tail,vertical_tail,1,38.449590853682494,38.449590853682494,26.4,0.0,4.14,1015.0691985372177,0.0,159.18130613424552,
STRUCTURE,5600,Windows,windows,1,56.24545388,56.24545388,2.792361,0.674493,1.440426,157.05761184181068,37.93716492388284,81.01741415055288,Fixed ATA mass from aircraft.json.
STRUCTURE,5700,Wings,wing,1,1406.1098927785954,1406.1098927785954,12.6,0.0,1.98,17716.9846490103,0.0,2784.097587701619,
STRUCTURE,3200,Landing Gear,handling_gear,1,1.2800000000000002,1.2800000000000002,13.5,0.0,0.9,17.280000000000005,0.0,1.1520000000000004,
STRUCTURE,3200,Landing Gear,main_landing_gear,1,233.3961687258898,233.3961687258898,14.4,0.0,-0.36,3360.904829652813,0.0,-84.02262074132032,
STRUCTURE,3200,Landing Gear,nose_landing_gear,1,73.51814929349631,73.51814929349631,3.6,0.0,-0.36,264.6653374565867,0.0,-26.46653374565867,
STRUCTURE Subtotal,,,,,,5417.233778875865,,,,,,,
MECHANICAL SYSTEMS,2100,Air Conditioning,air_conditioning_anti_ice,1,91.44422179200001,91.44422179200001,16.5,0.0,2.34,1508.8296595680001,0.0,213.97947899328,
MECHANICAL SYSTEMS,2700,Flight Controls,flight_controls,1,32.346475372308035,32.346475372308035,16.5,0.0,2.52,533.7168436430826,0.0,81.51311793821625,
MECHANICAL SYSTEMS,2800,Fuel System,fuel_system_and_tanks,1,0.0,0.0,12.9,0.0,1.62,0.0,0.0,0.0,
MECHANICAL SYSTEMS,2900,Hydraulic Power,hydraulics,1,49.16713015964417,49.16713015964417,14.4,0.0,1.62,708.006674298876,0.0,79.65075085862355,
MECHANICAL SYSTEMS,3000,Ice & Rain Protection,ice_rain_protection,1,30.390688790000002,30.390688790000002,4.385481,0.286603,1.187355,133.277788265458,8.71006257928037,36.08453628825045,Fixed ATA mass from aircraft.json.
MECHANICAL SYSTEMS,3500,Oxygen,oxygen,1,21.772433760000002,21.772433760000002,2.9083,0.0,0.9144,63.32076910420801,0.0,19.908713430144,Fixed ATA mass from aircraft.json.
MECHANICAL SYSTEMS,3600,Pneumatic,pneumatic,1,26.30835746,26.30835746,7.62,0.0,0.762,200.4696838452,0.0,20.04696838452,Fixed ATA mass from aircraft.json.
MECHANICAL SYSTEMS,3800,Water & Waste,water_waste,1,20.86524902,20.86524902,6.732104,0.0,0.596348,140.46702638853807,0.0,12.44294952257896,Fixed ATA mass from aircraft.json.
MECHANICAL SYSTEMS Subtotal,,,,,,272.29455635395226,,,,,,,
ELECTRICAL SYSTEMS,2400LV,Electrical Power (Low Voltage),electrical,1,155.2385099643313,155.2385099643313,11.4,0.0,1.98,1769.719013593377,0.0,307.372249729376,
ELECTRICAL SYSTEMS,2400LV,Electrical Power (Low Voltage),lv_system,1,18.0,18.0,11.4,0.0,1.98,205.20000000000002,0.0,35.64,
ELECTRICAL SYSTEMS,2400HV,Electrical Power (High Voltage Hybrid),hv_cables,1,36.0,36.0,15.0,0.0,1.8,540.0,0.0,64.8,
ELECTRICAL SYSTEMS,3300,Lights,lights,1,12.927382545,12.927382545,3.801979,0.224589,1.302084,49.14963696105656,2.9033479183990054,16.83253797372378,Fixed ATA mass from aircraft.json.
ELECTRICAL SYSTEMS Subtotal,,,,,,222.16589250933131,,,,,,,
AVIONICS,2200,Auto Flight,auto_flight,1,7.25747792,7.25747792,3.5814,0.0,1.2192,25.991931422688,0.0,8.848317080064001,Fixed ATA mass from aircraft.json.
AVIONICS,2300,Communications,avionics,1,490.87346526748,490.87346526748,5.4,0.0,2.34,2650.716712444392,0.0,1148.6439087259032,
AVIONICS,3100,Instruments,instruments,1,60.638837018456655,60.638837018456655,4.5,0.0,2.52,272.87476658305496,0.0,152.80986928651078,
AVIONICS,3400,Navigation,navigation,1,40.8233133,40.8233133,1.48336,0.0,1.1176,60.555670016688005,0.0,45.62413494408,Fixed ATA mass from aircraft.json.
AVIONICS Subtotal,,,,,,599.5930935059367,,,,,,,
POWERPLANT,7100,Duality Engines (incl. Turbogen & Exhaust),burners,1,67.5,67.5,22.8,0.0,2.232,1539.0,0.0,150.66000000000003,
POWERPLANT,7100,Duality Engines (incl. Turbogen & Exhaust),generators,1,81.0,81.0,22.8,0.0,2.232,1846.8,0.0,180.79200000000003,
POWERPLANT,7100,Duality Engines (incl. Turbogen & Exhaust),propulsive_motors,1,103.5,103.5,12.6,0.0,1.98,1304.1,0.0,204.93,
POWERPLANT,7100,Duality Engines (incl. Turbogen & Exhaust),turbines,1,144.0,144.0,22.8,0.0,2.232,3283.2000000000003,0.0,321.408,
POWERPLANT Subtotal,,,,,,396.0,,,,,,,
INTERIOR,2500,Equipment & Furnishings,furnishings,1,98.701699712,98.701699712,12.0,0.0,1.98,1184.4203965440001,0.0,195.42936542976003,
INTERIOR,2600,Fire Protection,fire_protection,1,27.2155422,27.2155422,6.1468,0.6096,0.7874,167.28849479496,16.59059452512,21.42951792828,Fixed ATA mass from aircraft.json.
INTERIOR Subtotal,,,,,,125.91724191200001,,,,,,,
total,,,crew_payload,,,90.718474,,,,,,,
total,,,passenger_payload,,,453.59237,,,,,,,
total,,,payload_total,,,544.310844,,,,,,,
total,,,fuel,,,1200.0,,,,,,,
total,,,tank_dry,,,350.0,,,,,,,
total,,,duality,,,396.00000000000006,,,,,,,
total,,,structure_total,,,5417.233778875865,,,,,,,
total,,,systems_total,,,1219.9707842812202,,,,,,,
total,,,operating_empty_without_engine,,,6987.204563157085,,,,,,,
total,,,operating_empty,,,7383.204563157085,,,,,,,
total,,,total_aircraft,,,9127.515407157087,,,,,,,
cg_state,,,OEW,,,7383.204563157087,12.934117806443169,0.0041364855779917565,1.809041346531014,,,,
cg_state,,,ZFW,,,7927.515407157088,12.828783800120501,0.003852470493755174,1.8207795323533709,,,,
cg_state,,,MTOW,,,9127.515407157085,12.838146637217267,0.0033459838556848366,1.7943829251633006,,,,
cg_state,,,MLW,,,7927.515407157088,12.828783800120501,0.003852470493755174,1.8207795323533709,,,,
